caseID,test,criterion,ref_foc
270,100,2.6,b_focal
271,85,1.85,b_focal
277,85,2.26,a_reference
280,104,2.94,a_reference
281,105,2.52,a_reference
283,108,2.65,a_reference
286,129,3.73,b_focal
288,104,2.91,b_focal
289,93,2.56,b_focal
290,98,2.12,b_focal
292,103,2.94,b_focal
293,116,3.47,b_focal
294,104,3.17,a_reference
295,93,2.68,b_focal
296,76,2.99,b_focal
297,89,2.69,a_reference
298,104,2.94,b_focal
300,106,3.15,b_focal
304,114,2.66,a_reference
310,106,2.9,b_focal
311,106,3.06,a_reference
312,120,3.25,b_focal
314,145,3.36,a_reference
315,92,2.09,b_focal
320,87,3.11,b_focal
322,93,3.15,b_focal
325,90,2.77,a_reference
327,112,3.69,b_focal
328,84,2.81,a_reference
329,92,2.83,a_reference
333,92,3.08,b_focal
334,101,3.2,b_focal
337,121,3.29,a_reference
340,89,3.06,a_reference
341,90,2.98,a_reference
342,92,2.39,a_reference
346,73,2.87,a_reference
347,83,2.24,a_reference
349,79,2.63,a_reference
350,105,2.42,a_reference
354,97,2.54,b_focal
358,55,2.16,a_reference
360,104,3.36,a_reference
363,97,2.69,b_focal
364,92,2.85,b_focal
370,100,1.85,a_reference
372,90,2.54,a_reference
375,123,2.39,a_reference
377,100,2.4,b_focal
378,101,2.48,a_reference
384,99,2.8,a_reference
385,83,2.73,a_reference
387,85,1.67,b_focal
390,86,2.92,b_focal
395,103,2.63,a_reference
396,86,3.47,a_reference
397,83,1,a_reference
401,104,2.45,a_reference
402,92,2.92,b_focal
403,88,2.87,b_focal
406,112,3.81,b_focal
412,77,2.93,a_reference
421,73,2.64,a_reference
427,78,2.56,a_reference
430,94,3.31,a_reference
431,81,3.36,b_focal
433,84,2.37,b_focal
434,101,2.47,a_reference
441,106,1.97,a_reference
446,87,3.4,a_reference
448,59,2.71,b_focal
451,83,3.34,a_reference
454,102,3.06,a_reference
456,93,3.02,a_reference
458,97,3.78,a_reference
464,86,2.91,b_focal
467,80,2.28,b_focal
469,78,3.48,b_focal
470,72,2.95,b_focal
476,87,3.27,a_reference
477,92,2.23,b_focal
478,91,3.54,b_focal
479,74,2.43,b_focal
481,85,2.47,a_reference
482,84,1.41,a_reference
488,90,2.97,b_focal
489,100,3.37,b_focal
492,105,3.49,b_focal
496,93,3.37,a_reference
499,99,2.98,b_focal
500,100,2.4,a_reference
502,103,2.5,a_reference
503,96,3.1,a_reference
505,93,2.73,a_reference
506,90,2.71,a_reference
509,93,2.84,b_focal
515,82,2.81,b_focal
517,82,3,a_reference
522,78,2.31,a_reference
527,113,3.41,a_reference
533,108,3.68,b_focal
538,81,2.69,b_focal
540,104,3.87,b_focal
542,104,3.19,b_focal
543,103,2.37,a_reference
547,145,3.53,a_reference
548,107,2.83,b_focal
549,108,1.9,a_reference
550,124,3.43,a_reference
551,116,3.53,a_reference
555,121,3.98,a_reference
559,112,3.66,b_focal
562,88,2.81,b_focal
564,106,2.76,a_reference
565,98,3.08,a_reference
566,96,2.95,b_focal
572,100,2.65,a_reference
574,65,1,b_focal
576,95,3.38,a_reference
577,100,2.82,a_reference
580,93,2.78,a_reference
581,112,3.03,a_reference
582,80,2.15,b_focal
584,103,3.63,b_focal
585,109,3.12,b_focal
587,89,3.04,b_focal
590,114,2.22,a_reference
592,82,3.28,b_focal
595,89,.42,b_focal
599,87,2.77,b_focal
600,75,3.24,a_reference
602,81,2.47,b_focal
603,87,2.24,a_reference
605,89,3.27,b_focal
607,96,3.14,b_focal
608,93,2.96,a_reference
609,106,2.93,b_focal
610,96,1.96,b_focal
611,106,2.36,a_reference
612,119,3.29,a_reference
613,107,2.38,a_reference
615,87,3.69,b_focal
616,118,3.94,a_reference
617,88,3.43,b_focal
618,92,2.77,a_reference
619,87,2.81,a_reference
623,81,2.12,a_reference
625,74,.91,a_reference
626,55,2.84,b_focal
628,102,3.6,a_reference
629,93,3.13,b_focal
632,115,3.6,b_focal
633,114,3.47,b_focal
640,101,2.32,a_reference
643,99,2.91,a_reference
647,81,3.42,a_reference
649,107,3.13,a_reference
650,88,2.84,b_focal
653,108,2.37,a_reference
656,94,2.27,a_reference
658,92,2.35,b_focal
660,102,2.49,b_focal
661,85,2.82,a_reference
664,93,2.61,a_reference
668,113,3.6,b_focal
671,98,1.66,a_reference
673,98,2.32,a_reference
674,79,2.76,b_focal
677,79,2.01,b_focal
678,101,1.36,a_reference
679,86,1.62,b_focal
681,102,2.32,b_focal
683,91,2.47,a_reference
684,85,1.82,b_focal
685,73,2.12,a_reference
688,85,2.69,a_reference
689,87,3.05,b_focal
693,94,2.32,b_focal
696,88,1.67,a_reference
699,89,2.09,a_reference
702,95,2.43,a_reference
704,94,2.27,b_focal
707,95,3.43,b_focal
709,99,1.98,b_focal
712,88,1.96,a_reference
713,72,.69,b_focal
714,91,2.24,a_reference
715,89,3.11,b_focal
716,92,2.06,a_reference
723,91,3.03,a_reference
724,121,3.57,a_reference
726,108,3.58,a_reference
727,119,3.17,b_focal
732,93,2.92,b_focal
737,104,2.58,a_reference
739,119,3.42,b_focal
742,105,3.55,b_focal
743,139,3.36,a_reference
744,108,3.52,a_reference
746,105,3.65,a_reference
748,88,2.66,b_focal
750,84,2.24,a_reference
751,86,2.13,b_focal
752,85,1.6,a_reference
755,102,3.53,b_focal
758,120,3.93,a_reference
759,113,2.92,a_reference
760,93,3.36,b_focal
764,83,1.8,a_reference
765,99,2.4,a_reference
766,105,3.34,a_reference
768,83,3.2,a_reference
769,84,3.48,b_focal
772,127,2.75,b_focal
774,105,2.62,b_focal
780,86,2.56,a_reference
788,111,3.21,a_reference
791,88,3.35,b_focal
794,110,3.25,a_reference
795,103,3.27,b_focal
798,114,3.99,a_reference
800,112,3.26,a_reference
801,86,2.97,b_focal
802,108,2.72,b_focal
804,101,2.84,a_reference
807,86,1.77,b_focal
814,88,1.81,b_focal
816,76,2.62,b_focal
820,92,1.7,a_reference
823,91,2.47,a_reference
825,86,3.17,b_focal
827,112,3,a_reference
844,93,3.25,b_focal
847,86,2.36,a_reference
848,92,2.38,b_focal
851,89,2.45,b_focal
853,81,3.02,b_focal
858,85,3.41,b_focal
859,74,2.45,a_reference
861,105,2.29,a_reference
863,90,1.38,b_focal
865,113,3.2,a_reference
866,75,2.7,a_reference
867,85,2.07,a_reference
870,100,3.06,a_reference
872,103,2.91,a_reference
873,97,3.04,b_focal
874,75,3.05,a_reference
875,87,2.07,b_focal
876,92,.1,b_focal
878,97,3.6,b_focal
879,100,3.42,b_focal
880,85,3.38,b_focal
883,89,2.24,b_focal
885,86,2.93,a_reference
886,104,3.08,a_reference
887,88,3.07,b_focal
889,85,1.31,a_reference
891,76,2.26,a_reference
892,81,2.62,b_focal
894,91,3.08,a_reference
895,98,2.66,a_reference
897,105,2.44,b_focal
898,103,1.99,a_reference
900,98,2.06,a_reference
901,103,3.47,b_focal
904,97,3.22,b_focal
905,86,1.97,b_focal
906,86,3.28,b_focal
908,95,2.46,b_focal
909,76,2.22,a_reference
913,84,3.51,b_focal
916,97,3.1,b_focal
917,95,2.98,a_reference
919,106,3.47,b_focal
922,98,3.29,b_focal
923,84,2.68,b_focal
924,89,3.22,b_focal
928,129,3.53,b_focal
931,112,3.9,b_focal
936,86,2.41,a_reference
940,126,3.22,a_reference
942,107,3.38,a_reference
948,86,3.13,b_focal
950,103,3.15,b_focal
953,98,2.3,a_reference
955,106,2.97,b_focal
956,108,3.21,a_reference
957,120,2.57,a_reference
959,83,2.5,a_reference
964,139,3.63,b_focal
966,90,2.93,b_focal
967,124,2.84,b_focal
970,108,3.62,a_reference
971,87,3.45,b_focal
981,78,2.38,a_reference
983,97,3.43,b_focal
985,84,2.2,b_focal
987,107,1.75,a_reference
988,112,4,b_focal
989,87,2.93,b_focal
990,102,2.83,a_reference
992,97,1.58,b_focal
998,86,1.98,a_reference
999,91,2.69,a_reference
1002,98,2.63,a_reference
1003,87,2.54,b_focal
1004,94,2.3,a_reference
1006,76,2.01,a_reference
1009,125,3.77,a_reference
1010,78,2.88,b_focal
1013,112,3.74,a_reference
1014,109,2.72,a_reference
1017,81,2.66,b_focal
1018,113,3.43,a_reference
1019,110,3.69,a_reference
1020,90,2.7,a_reference
1022,96,2.59,b_focal
1025,94,2.52,a_reference
1029,91,2.08,b_focal
1032,74,2.49,a_reference
1034,91,2.11,a_reference
1036,79,2.38,a_reference
1038,71,3.67,a_reference
1039,88,2.47,b_focal
1042,85,2.37,b_focal
1046,87,1.71,a_reference
1048,93,2.47,b_focal
1049,82,2.8,a_reference
1051,73,2.72,a_reference
1053,103,1.98,a_reference
1054,85,2.83,b_focal
1055,87,2.53,b_focal
1057,72,2.82,b_focal
1060,101,3.47,b_focal
1061,78,2.87,b_focal
1062,55,2.32,a_reference
1074,111,3.26,a_reference
1075,92,2.32,b_focal
1076,108,3.08,b_focal
1077,107,3.82,b_focal
1078,96,1.89,a_reference
1080,116,2.94,b_focal
1081,123,3.76,a_reference
1082,119,3.29,b_focal
1084,93,3.02,b_focal
1092,100,3.21,b_focal
1093,86,3.11,a_reference
1105,107,2.48,b_focal
1108,110,3.37,a_reference
1109,113,3.62,b_focal
1111,112,3.1,a_reference
1112,108,3.41,a_reference
1114,97,2.84,b_focal
1116,115,3.89,b_focal
1117,95,3.16,a_reference
1121,90,3.02,b_focal
1123,96,3.29,b_focal
1125,74,2.49,a_reference
1128,90,2.33,b_focal
1135,113,2.67,a_reference
1140,121,3.7,a_reference
1145,119,3.36,b_focal
1150,105,3.25,a_reference
1155,89,2.34,a_reference
1156,90,2.34,b_focal
1160,118,3.72,b_focal
1163,118,2.87,a_reference
1164,104,2.76,a_reference
1165,97,2.79,b_focal
1169,97,2.81,b_focal
1171,107,3.35,a_reference
1172,94,2.18,a_reference
1173,107,3.57,b_focal
1175,89,3.35,b_focal
1177,84,2.63,b_focal
1178,137,3.18,a_reference
1179,86,2.14,a_reference
1180,117,1.53,a_reference
1181,111,3.19,b_focal
1185,106,2.89,a_reference
1187,113,3.68,b_focal
1188,110,3.44,b_focal
1192,94,1.85,a_reference
1193,108,2.67,a_reference
1194,107,3.07,b_focal
1195,92,2.11,a_reference
1204,84,1.87,a_reference
1206,96,2.54,b_focal
1208,91,1.99,a_reference
1209,84,2.51,b_focal
1210,73,2.68,a_reference
1214,72,3.05,a_reference
1217,84,2.32,a_reference
1220,72,2.74,b_focal
1224,67,2.93,a_reference
1227,114,3.72,b_focal
1229,90,2.56,b_focal
1230,115,2.43,a_reference
1232,100,3.3,a_reference
1233,101,3.37,a_reference
1234,109,3.26,a_reference
1235,127,3.62,a_reference
1236,92,1.76,a_reference
1237,93,2.85,a_reference
1238,93,2.33,b_focal
1239,113,3.47,a_reference
1240,85,2.93,a_reference
1247,122,3.46,a_reference
1248,121,3.82,b_focal
1250,115,3.38,a_reference
1252,108,2.86,a_reference
1253,115,3.67,b_focal
1254,145,3.58,b_focal
1258,94,2.75,b_focal
1259,95,2.5,a_reference
1260,73,1.78,a_reference
1262,93,2.18,a_reference
1263,102,2.82,a_reference
1264,91,2.74,a_reference
1277,91,2.63,a_reference
1278,111,3.69,a_reference
1279,102,3.8,a_reference
1281,123,3.73,a_reference
1283,117,3.36,a_reference
1284,78,1.48,a_reference
1286,107,3.5,a_reference
1287,79,2.31,a_reference
1288,116,3.11,a_reference
1293,98,2.45,a_reference
1294,108,2.07,a_reference
1296,112,3.89,b_focal
1299,75,2.57,a_reference
1300,101,3.29,a_reference
1301,90,2.93,a_reference
1307,87,3.16,b_focal
1308,114,3.67,b_focal
1313,97,3.71,b_focal
1314,88,3.44,b_focal
1316,86,3.23,b_focal
1317,92,2.65,b_focal
1318,78,2.2,a_reference
1319,95,2.96,b_focal
1321,93,2.29,a_reference
1322,120,3.76,b_focal
1323,111,3.13,a_reference
1325,85,3.56,b_focal
1326,84,2.68,a_reference
1327,83,2.72,b_focal
1329,78,2.86,b_focal
1331,109,3.47,b_focal
1336,119,3.69,a_reference
1337,124,3.71,b_focal
1338,121,3.72,b_focal
1341,69,3,a_reference
1347,128,3.61,b_focal
1349,88,3.46,a_reference
1351,85,3.04,a_reference
1356,83,3.58,b_focal
1357,77,3.42,b_focal
1358,92,3.41,b_focal
1364,84,3.13,a_reference
1367,115,4,a_reference
1369,133,3.74,b_focal
1374,80,2.99,a_reference
1375,107,3.53,b_focal
1377,85,3.27,a_reference
1379,79,3.3,b_focal
1382,107,2.43,a_reference
1383,89,1.97,a_reference
1384,96,2.78,b_focal
1390,93,3.05,a_reference
1393,83,2.98,b_focal
1399,79,3.09,b_focal
1401,90,2.87,a_reference
1402,124,3.59,a_reference
1406,130,3.64,a_reference
1407,93,3.12,a_reference
1412,115,3.24,b_focal
1414,111,3.11,b_focal
1416,84,3.42,b_focal
1417,93,2.92,a_reference
1418,94,3.06,a_reference
1419,63,2.97,b_focal
1420,101,3.25,b_focal
1421,125,3.58,a_reference
1430,104,3.92,b_focal
1432,88,3.12,b_focal
1435,87,1.93,a_reference
1438,83,3.87,b_focal
1439,83,1.78,a_reference
1443,94,2.39,a_reference
1445,101,3,b_focal
1447,111,3.5,a_reference
1451,87,3.07,b_focal
1455,113,3.78,a_reference
1457,108,3.27,a_reference
1460,119,3.87,a_reference
1461,84,2.69,a_reference
1464,97,3.13,b_focal
1466,91,3.27,b_focal
1469,87,2.5,a_reference
1470,91,2.3,b_focal
1480,79,1.64,b_focal
1483,112,2.34,a_reference
1485,91,2.65,a_reference
1486,111,3.54,a_reference
1489,96,3.06,b_focal
1492,108,2.8,b_focal
1497,145,3.22,b_focal
1500,84,3.02,b_focal
1508,91,2.33,a_reference
1527,78,2.12,b_focal
1531,112,3.19,b_focal
1533,108,3.43,b_focal
1535,80,1,a_reference
1536,92,2.6,a_reference
1537,85,2.98,b_focal
1547,101,3.11,a_reference
1550,113,3.61,b_focal
1552,92,2.74,a_reference
1554,80,3.38,a_reference
1555,55,2.8,a_reference
1556,99,3.33,a_reference
1557,108,3.37,b_focal
1558,57,1,a_reference
1559,79,2.57,a_reference
1560,84,2.84,a_reference
1561,55,3.45,a_reference
1562,88,.91,a_reference
1563,92,2.29,a_reference
1568,83,3.36,b_focal
1569,82,2.69,a_reference
1572,112,3.48,a_reference
1574,105,3.54,b_focal
1575,102,3.02,b_focal
1578,108,3.18,a_reference
1579,90,2.23,a_reference
1585,74,2.1,b_focal
1586,84,1.98,a_reference
1587,107,2.85,b_focal
1588,101,3.3,b_focal
1595,110,1.61,b_focal
1600,79,.7,b_focal
1601,84,1.93,b_focal
1602,83,2.72,b_focal
1612,99,2.29,b_focal
1615,55,3.78,a_reference
1617,100,3.17,a_reference
1622,87,2.56,b_focal
1624,126,2.48,b_focal
1627,87,2.96,a_reference
1628,91,2.73,a_reference
1629,137,2.78,b_focal
1632,106,2.94,a_reference
1640,102,1.87,a_reference
1641,79,1.54,b_focal
1645,101,3.09,a_reference
1646,103,1.69,a_reference
1648,95,1.71,a_reference
1651,97,3.11,b_focal
1653,108,2.31,a_reference
1656,111,3.83,a_reference
1658,55,3.34,b_focal
1659,92,3.1,a_reference
1663,78,2.86,b_focal
1667,98,3.47,a_reference
1669,112,4,b_focal
1671,109,3.45,b_focal
1672,117,3.9,b_focal
1675,109,2.95,a_reference
1677,112,3.76,b_focal
1679,85,3.21,b_focal
1680,113,3.65,b_focal
1688,81,3.79,a_reference
1696,86,2.63,a_reference
1700,98,2.46,a_reference
1701,95,2.39,a_reference
1715,74,2.79,a_reference
1719,86,2.44,b_focal
1720,73,2.92,a_reference
1732,89,2.5,a_reference
1733,96,3.12,b_focal
1736,112,3.29,b_focal
1752,104,3.35,b_focal
1757,94,2.78,a_reference
1758,84,3.37,a_reference
1759,99,2.68,a_reference
1760,82,1.26,b_focal
1762,92,1.6,a_reference
1765,107,2.59,a_reference
1766,99,1.55,a_reference
1767,82,1.45,a_reference
1772,112,3.76,b_focal
1773,96,3.73,b_focal
1774,90,3.09,b_focal
1778,109,2.39,a_reference
1780,98,3.76,b_focal
1781,88,3.48,b_focal
1784,112,3.64,b_focal
1785,89,2.49,b_focal
1789,55,1.76,b_focal
1797,102,2.7,a_reference
1804,121,3.43,b_focal
1807,102,2.66,a_reference
1811,90,3.35,a_reference
1812,99,3.71,b_focal
1814,81,2.6,b_focal
1817,106,3.14,a_reference
1823,91,2.37,a_reference
1824,87,3.55,b_focal
1825,106,3.7,a_reference
1827,96,2.49,a_reference
1828,112,2.21,a_reference
1829,112,3.32,b_focal
1833,82,2.42,b_focal
1834,92,2.37,a_reference
1836,123,3.47,a_reference
1838,100,2.56,a_reference
1841,101,3.19,b_focal
1842,86,1.1,a_reference
1843,78,1.79,a_reference
1844,85,3.65,b_focal
1847,107,2.45,a_reference
1853,105,2.33,a_reference
1857,115,3.48,a_reference
1862,113,3.58,b_focal
1866,89,2.75,b_focal
1869,96,2.67,a_reference
1870,98,2.29,b_focal
1874,117,3.24,b_focal
1875,93,3.7,b_focal
1878,92,2.31,a_reference
1879,89,2.52,a_reference
1880,110,3.27,b_focal
1883,88,3.5,b_focal
1885,105,3.83,a_reference
1886,96,3.18,a_reference
1887,107,3.04,a_reference
1888,110,2.38,a_reference
1889,85,2.93,b_focal
1890,105,2.45,a_reference
1891,89,2.26,a_reference
1892,96,2.33,a_reference
1893,84,3.45,b_focal
1895,81,2.11,a_reference
1896,105,2.69,a_reference
1897,114,3.71,b_focal
1898,109,3.99,b_focal
1899,94,2.15,b_focal
1902,88,2.57,a_reference
1909,101,2.45,b_focal
1913,83,1.27,b_focal
1917,99,2.6,b_focal
1918,113,3.52,a_reference
1920,89,2.27,a_reference
1923,105,3.3,b_focal
1924,112,3.37,b_focal
1928,86,3.07,b_focal
1933,134,3.35,a_reference
1940,90,3.29,b_focal
1947,80,2.68,b_focal
1950,90,3.15,b_focal
1953,75,1.36,b_focal
1957,85,2.81,a_reference
1962,113,3.31,b_focal
1965,110,2.45,a_reference
1975,103,3.18,a_reference
1976,99,2.59,a_reference
1979,92,2.57,a_reference
1982,96,2.39,a_reference
1984,92,3.73,b_focal
1987,85,1.9,b_focal
1993,79,2.47,a_reference
1996,107,3.13,a_reference
1998,112,3.61,b_focal
1999,93,2.53,a_reference
2002,90,2.62,b_focal
2005,88,2.58,a_reference
2006,117,3.42,a_reference
2007,74,1,b_focal
2010,97,2.83,a_reference
2013,90,1.86,a_reference
2015,82,1,b_focal
2018,77,.78,a_reference
2019,67,.78,a_reference
2020,82,1.68,b_focal
2021,81,1,b_focal
2023,96,2.25,b_focal
2024,86,1.66,a_reference
2025,104,3.51,b_focal
2032,85,3.34,a_reference
2038,80,1.83,b_focal
2047,89,2.52,a_reference
2051,108,3.31,a_reference
2055,123,3.13,b_focal
2062,145,2.98,a_reference
2065,91,3.33,a_reference
2068,111,3.29,a_reference
2069,126,3.86,b_focal
2072,126,3.76,a_reference
2074,90,3.57,a_reference
2075,103,3.69,b_focal
2077,115,3.97,b_focal
2078,107,3.59,b_focal
2080,111,3.71,b_focal
2084,98,3.25,b_focal
2094,108,2.83,b_focal
2095,88,2.53,a_reference
2096,108,1.91,a_reference
2099,90,1.14,a_reference
2100,91,2.52,a_reference
2101,85,2.25,b_focal
2104,94,3.26,b_focal
2105,80,2.35,b_focal
2107,101,2.96,b_focal
2108,77,2.37,a_reference
2120,83,2.53,a_reference
2122,81,2.51,a_reference
2125,99,3.15,b_focal
2126,81,3.15,b_focal
2128,67,2.94,a_reference
2129,112,3.81,a_reference
2130,116,3.5,a_reference
2131,84,3.07,a_reference
2132,91,3.03,b_focal
2133,108,3.67,b_focal
2135,86,2.48,b_focal
2136,104,2.52,a_reference
2137,89,2.52,a_reference
2146,121,3.24,b_focal
2151,119,3.41,a_reference
2153,100,2.54,b_focal
2157,89,2.53,b_focal
2158,88,1.92,a_reference
2159,89,2.61,a_reference
2160,97,3.08,b_focal
2165,89,2.21,a_reference
2166,77,2.83,a_reference
2170,80,2.75,b_focal
2171,127,3.42,b_focal
2177,114,3.98,b_focal
2179,84,1.57,b_focal
2180,98,3.22,b_focal
2183,111,3.36,a_reference
2185,85,2.74,a_reference
2187,107,3.32,a_reference
2195,115,3.44,b_focal
2201,95,3.24,b_focal
2212,101,2.3,a_reference
2213,105,3.31,a_reference
2215,105,2.31,a_reference
2220,97,2.58,a_reference
2224,101,2.89,a_reference
2226,112,2.73,a_reference
2231,97,2.62,b_focal
2233,116,2.86,a_reference
2235,96,2.38,a_reference
2237,92,2.68,a_reference
2244,88,2.23,b_focal
2248,104,2.98,b_focal
2250,112,2.33,a_reference
2251,91,2.15,a_reference
2253,106,3.77,a_reference
2264,78,2.44,a_reference
2265,98,2.44,b_focal
2266,106,3.25,a_reference
2271,89,3.08,b_focal
2279,104,2.51,a_reference
2280,117,2.97,b_focal
2285,55,1.33,a_reference
2289,117,2.31,a_reference
2290,105,3.16,a_reference
2291,107,2.23,a_reference
2296,102,2.95,a_reference
2298,100,2.66,b_focal
2299,101,3.29,b_focal
2302,95,2.6,a_reference
2308,108,3.67,a_reference
2309,107,2.82,a_reference
2313,91,1.67,a_reference
2315,87,1.16,a_reference
2316,88,2.02,a_reference
2319,102,2.73,a_reference
2321,101,2.07,b_focal
2322,78,4,b_focal
2324,84,1,b_focal
2325,107,2.88,a_reference
2326,94,2.78,a_reference
2327,98,2.19,a_reference
2328,113,3.84,a_reference
2329,112,3.98,a_reference
2330,118,3.91,a_reference
2332,108,3.69,b_focal
2336,95,2.93,b_focal
2347,119,3.83,b_focal
2348,93,3.05,b_focal
2350,116,3.02,a_reference
2351,99,2.76,b_focal
2356,82,2.46,b_focal
2357,94,1,a_reference
2362,88,1.9,a_reference
2368,111,3.18,b_focal
2371,87,2.84,a_reference
2372,95,2.02,a_reference
2373,102,3.37,a_reference
2374,79,3.1,a_reference
2375,100,2.73,a_reference
2377,117,2.84,a_reference
2379,101,3.05,a_reference
2380,94,3.63,b_focal
2381,100,3.17,a_reference
2382,105,3.27,a_reference
2385,95,2.57,a_reference
2387,107,2.08,a_reference
2388,90,1.93,a_reference
2389,85,2.94,a_reference
2390,83,3.03,b_focal
2391,102,2.78,b_focal
2393,96,3.06,a_reference
2395,111,3.24,a_reference
2399,90,2.84,b_focal
2400,89,2.31,b_focal
2402,87,2.68,a_reference
2408,93,2.59,a_reference
2409,88,2.59,a_reference
2410,89,2.37,a_reference
2417,77,2.36,a_reference
2420,113,2.61,b_focal
2422,118,1.76,a_reference
2424,84,2.31,b_focal
2430,89,2.35,b_focal
2431,116,3.11,a_reference
2433,88,2.35,b_focal
2435,113,3.28,b_focal
2437,97,3.6,b_focal
2439,120,3.09,a_reference
2441,92,1.99,a_reference
2442,89,1.49,a_reference
2443,97,3.55,b_focal
2444,102,1.99,b_focal
2445,83,2.98,b_focal
2446,92,2.3,b_focal
2451,106,2.68,a_reference
2453,97,2.63,a_reference
2454,89,2.43,b_focal
2455,85,2.05,a_reference
2461,113,3.17,a_reference
2465,113,3.33,b_focal
2468,111,2.87,a_reference
2470,111,3.41,a_reference
2472,145,3.92,b_focal
2473,96,2.79,b_focal
2476,116,3.54,b_focal
2477,95,2.76,a_reference
2479,122,3.11,a_reference
2481,107,3.22,a_reference
2483,108,2.61,a_reference
2484,94,2.7,a_reference
2487,101,2.6,a_reference
2490,104,2.25,a_reference
2491,111,2.41,b_focal
2493,116,3.96,b_focal
2494,107,3.5,b_focal
2496,119,3.61,a_reference
2497,110,2.6,a_reference
2504,108,3.4,b_focal
2505,83,2.27,b_focal
2506,93,1.9,a_reference
2507,92,2.21,a_reference
2508,103,2.65,a_reference
2512,73,2.12,b_focal
2515,114,2.98,a_reference
2517,96,2.55,a_reference
2520,82,3.3,a_reference
2521,94,2.98,b_focal
2527,134,3.25,a_reference
2531,111,3.03,b_focal
2533,90,2.65,a_reference
2534,101,2.4,a_reference
2537,107,2.8,a_reference
2544,111,2.87,b_focal
2545,83,2.51,a_reference
2547,75,2.71,b_focal
2548,103,2.85,a_reference
2552,106,2.88,a_reference
2557,102,3.73,b_focal
2559,84,1.59,b_focal
2562,114,2.5,a_reference
2563,99,3.49,a_reference
2564,100,3.53,a_reference
2569,117,2.8,a_reference
2571,94,2.97,b_focal
2572,85,3.3,b_focal
2573,105,3.38,a_reference
2574,87,2.77,a_reference
2575,106,2.41,a_reference
2576,105,2.96,a_reference
2580,109,3.42,b_focal
2581,111,3.39,a_reference
2582,96,3.18,b_focal
2583,101,3.85,b_focal
2584,95,3.44,a_reference
2586,91,2.56,b_focal
2588,82,3.32,b_focal
2590,97,2.73,b_focal
2591,117,2.89,a_reference
2593,111,3.95,a_reference
2594,82,2.65,a_reference
2597,98,2.95,a_reference
2600,107,2.33,b_focal
2602,85,2.82,a_reference
2603,110,3.39,a_reference
2609,106,2.04,a_reference
2610,113,3.47,b_focal
2611,108,2.5,a_reference
2614,127,3.23,a_reference
2618,117,3.88,a_reference
2619,98,3.02,b_focal
2621,89,2.72,b_focal
2624,112,3.88,a_reference
2628,108,3.59,a_reference
2632,74,2.2,b_focal
2640,109,3.57,b_focal
2641,78,3,a_reference
2650,84,3.25,b_focal
2653,77,1.35,b_focal
2658,103,3.29,a_reference
2662,109,3.48,a_reference
2663,108,3.79,b_focal
2665,91,2.87,a_reference
2666,87,2.58,a_reference
2667,110,3.92,b_focal
2670,114,3.7,b_focal
